;date;India;United Kingdom;US;Germany;Italy;Canada;Spain
0;2020-01-22;0;0;1;0;0;0;0
1;2020-01-23;0;0;1;0;0;0;0
2;2020-01-24;0;0;2;0;0;0;0
3;2020-01-25;0;0;2;0;0;0;0
4;2020-01-26;0;0;5;0;0;1;0
5;2020-01-27;0;0;5;1;0;1;0
6;2020-01-28;0;0;5;4;0;2;0
7;2020-01-29;0;0;5;4;0;2;0
8;2020-01-30;1;0;5;4;0;2;0
9;2020-01-31;1;2;7;5;2;4;0
10;2020-02-01;1;2;8;8;2;4;1
11;2020-02-02;2;2;8;10;2;4;1
12;2020-02-03;3;8;11;12;2;4;1
13;2020-02-04;3;8;11;12;2;4;1
14;2020-02-05;3;9;11;12;2;5;1
15;2020-02-06;3;9;11;12;2;5;1
16;2020-02-07;3;9;11;13;3;7;1
17;2020-02-08;3;13;11;13;3;7;1
18;2020-02-09;3;14;11;14;3;7;2
19;2020-02-10;3;14;11;14;3;7;2
20;2020-02-11;3;15;12;16;3;7;2
21;2020-02-12;3;16;12;16;3;7;2
22;2020-02-13;3;17;13;16;3;7;2
23;2020-02-14;3;18;13;16;3;7;2
24;2020-02-15;3;18;13;16;3;7;2
25;2020-02-16;3;18;13;16;3;7;2
26;2020-02-17;3;19;13;16;3;8;2
27;2020-02-18;3;19;13;16;3;8;2
28;2020-02-19;3;20;13;16;3;8;2
29;2020-02-20;3;22;13;16;3;8;2
30;2020-02-21;3;23;15;16;20;9;2
31;2020-02-22;3;23;15;16;62;9;2
32;2020-02-23;3;28;15;16;155;9;2
33;2020-02-24;3;30;15;16;229;10;2
34;2020-02-25;3;34;15;17;322;11;6
35;2020-02-26;3;37;15;27;453;11;13
36;2020-02-27;3;44;16;46;655;13;15
37;2020-02-28;3;56;16;48;888;14;32
38;2020-02-29;3;61;24;79;1128;20;45
39;2020-03-01;3;94;30;130;1694;24;84
40;2020-03-02;5;134;53;159;2036;27;120
41;2020-03-03;5;189;73;196;2502;30;165
42;2020-03-04;28;246;104;262;3089;33;222
43;2020-03-05;30;295;174;482;3858;37;259
44;2020-03-06;31;374;222;670;4636;49;400
45;2020-03-07;34;429;337;799;5883;54;500
46;2020-03-08;39;483;451;1040;7375;64;673
47;2020-03-09;43;630;519;1176;9172;77;1073
48;2020-03-10;56;889;711;1457;10149;79;1695
49;2020-03-11;62;1301;1109;1908;12462;108;2277
50;2020-03-12;73;1790;1561;2078;15113;117;2277
51;2020-03-13;82;2270;2157;3675;17660;193;5232
52;2020-03-14;102;2634;2870;4585;21157;198;6391
53;2020-03-15;113;3077;2968;5795;24747;252;7798
54;2020-03-16;119;3692;4360;7272;27980;415;9942
55;2020-03-17;142;4462;6141;9257;31506;478;11748
56;2020-03-18;156;5467;8917;12327;35713;657;13910
57;2020-03-19;194;6533;14157;15320;41035;800;17963
58;2020-03-20;244;7791;19479;19848;47021;943;20410
59;2020-03-21;330;9006;25825;22213;53578;1277;25374
60;2020-03-22;396;10395;33761;24873;59138;1469;28768
61;2020-03-23;499;12744;43850;29056;63927;2088;35136
62;2020-03-24;536;15126;54112;32986;69176;2790;39885
63;2020-03-25;657;17843;66055;37323;74386;3251;49515
64;2020-03-26;727;20970;84091;43938;80589;4042;57786
65;2020-03-27;887;24219;102276;50871;86498;4682;65719
66;2020-03-28;987;27062;122069;57695;92472;5576;73235
67;2020-03-29;1024;29954;141205;62095;97689;6280;80110
68;2020-03-30;1251;34281;162707;66885;101739;7398;87956
69;2020-03-31;1397;38815;188724;71808;105792;8527;95923
70;2020-04-01;1998;43789;214205;77872;110574;9560;104118
71;2020-04-02;2543;48718;244610;84794;115242;11284;112065
72;2020-04-03;2567;53699;276547;91159;119827;12437;119199
73;2020-04-04;3082;57772;309699;96092;124632;12978;126168
74;2020-04-05;3588;61422;337573;100123;128948;15756;131646
75;2020-04-06;4778;66738;367215;103374;132547;16563;136675
76;2020-04-07;5311;72224;397992;107663;135586;17872;141942
77;2020-04-08;5916;77387;429686;113296;139422;19141;148220
78;2020-04-09;6725;82293;464442;118181;143626;20654;153222
79;2020-04-10;7598;86660;497943;122171;147577;22059;158273
80;2020-04-11;8446;90273;527969;124908;152271;23316;163027
81;2020-04-12;9205;93812;556522;127854;156363;24299;166831
82;2020-04-13;10453;98017;581813;130072;159516;25680;170099
83;2020-04-14;11487;102365;608878;131359;162488;27035;172541
84;2020-04-15;12322;107465;637974;134753;165155;28209;177644
85;2020-04-16;13430;112808;669272;137698;168941;30809;184948
86;2020-04-17;14352;117798;701996;141397;172434;32814;190839
87;2020-04-18;15722;122534;730337;143342;175925;34356;191726
88;2020-04-19;17615;126394;756375;145184;178972;35633;198674
89;2020-04-20;18539;131260;783716;147065;181228;37658;200210
90;2020-04-21;20080;136035;809318;148291;183957;39402;204178
91;2020-04-22;21370;141540;837422;150648;187327;41663;208389
92;2020-04-23;23077;146708;871617;153129;189973;43299;213024
93;2020-04-24;24530;151689;907908;154999;192994;44919;202990
94;2020-04-25;26283;155453;940829;156513;195351;46371;205905
95;2020-04-26;27890;158926;968518;157770;197675;48033;207634
96;2020-04-27;29451;163630;990983;158758;199414;49616;209465
97;2020-04-28;31324;168357;1015518;159912;201505;51150;210773
98;2020-04-29;33062;173807;1043038;161539;203591;52865;212917
99;2020-04-30;34863;178771;1072667;163009;205463;54457;213435
100;2020-05-01;37257;183501;1106829;164077;207428;56343;215216
101;2020-05-02;39699;186731;1136024;164967;209328;57926;216582
102;2020-05-03;42505;189708;1161611;165664;210717;60504;217466
103;2020-05-04;46437;193091;1184086;166152;211938;61957;218011
104;2020-05-05;49400;196780;1208271;167007;213013;63215;219329
105;2020-05-06;52987;200616;1233527;168162;214457;64694;220325
106;2020-05-07;56351;204387;1261409;169430;215858;66201;221447
107;2020-05-08;59695;207439;1288587;170588;217185;67674;222857
108;2020-05-09;62808;209589;1314320;171324;218268;68918;223578
109;2020-05-10;67161;211911;1334084;171879;219070;70091;224350
110;2020-05-11;70768;215500;1352962;172576;219814;71264;227436
111;2020-05-12;74292;218895;1375152;173171;221216;72419;228030
