date;India;United Kingdom;US;Germany;Italy;Canada;Spain
2020-01-22;0;0;1;0;0;0;0
2020-01-23;0;0;1;0;0;0;0
2020-01-24;0;0;2;0;0;0;0
2020-01-25;0;0;2;0;0;0;0
2020-01-26;0;0;5;0;0;1;0
2020-01-27;0;0;5;1;0;1;0
2020-01-28;0;0;5;4;0;2;0
2020-01-29;0;0;5;4;0;2;0
2020-01-30;1;0;5;4;0;2;0
2020-01-31;1;2;7;5;2;4;0
2020-02-01;1;2;8;8;2;4;1
2020-02-02;2;2;8;10;2;4;1
2020-02-03;3;8;11;12;2;4;1
2020-02-04;3;8;11;12;2;4;1
2020-02-05;3;9;11;12;2;5;1
2020-02-06;3;9;11;12;2;5;1
2020-02-07;3;9;11;13;3;7;1
2020-02-08;3;13;11;13;3;7;1
2020-02-09;3;14;11;14;3;7;2
2020-02-10;3;14;11;14;3;7;2
2020-02-11;3;15;12;16;3;7;2
2020-02-12;3;16;12;16;3;7;2
2020-02-13;3;17;13;16;3;7;2
2020-02-14;3;18;13;16;3;7;2
2020-02-15;3;18;13;16;3;7;2
2020-02-16;3;18;13;16;3;7;2
2020-02-17;3;19;13;16;3;8;2
2020-02-18;3;19;13;16;3;8;2
2020-02-19;3;20;13;16;3;8;2
2020-02-20;3;22;13;16;3;8;2
2020-02-21;3;23;15;16;20;9;2
2020-02-22;3;23;15;16;62;9;2
2020-02-23;3;28;15;16;155;9;2
2020-02-24;3;30;15;16;229;10;2
2020-02-25;3;34;15;17;322;11;6
2020-02-26;3;37;15;27;453;11;13
2020-02-27;3;44;16;46;655;13;15
2020-02-28;3;56;16;48;888;14;32
2020-02-29;3;61;24;79;1128;20;45
2020-03-01;3;94;30;130;1694;24;84
2020-03-02;5;134;53;159;2036;27;120
2020-03-03;5;189;73;196;2502;30;165
2020-03-04;28;246;104;262;3089;33;222
2020-03-05;30;295;174;482;3858;37;259
2020-03-06;31;374;222;670;4636;49;400
2020-03-07;34;429;337;799;5883;54;500
2020-03-08;39;483;451;1040;7375;64;673
2020-03-09;43;630;519;1176;9172;77;1073
2020-03-10;56;889;711;1457;10149;79;1695
2020-03-11;62;1301;1109;1908;12462;108;2277
2020-03-12;73;1790;1561;2078;15113;117;2277
2020-03-13;82;2270;2157;3675;17660;193;5232
2020-03-14;102;2634;2870;4585;21157;198;6391
2020-03-15;113;3077;2968;5795;24747;252;7798
2020-03-16;119;3692;4360;7272;27980;415;9942
2020-03-17;142;4462;6141;9257;31506;478;11748
2020-03-18;156;5467;8917;12327;35713;657;13910
2020-03-19;194;6533;14157;15320;41035;800;17963
2020-03-20;244;7791;19479;19848;47021;943;20410
2020-03-21;330;9006;25825;22213;53578;1277;25374
2020-03-22;396;10395;33761;24873;59138;1469;28768
2020-03-23;499;12744;43850;29056;63927;2088;35136
2020-03-24;536;15126;54112;32986;69176;2790;39885
2020-03-25;657;17843;66055;37323;74386;3251;49515
2020-03-26;727;20970;84091;43938;80589;4042;57786
2020-03-27;887;24219;102276;50871;86498;4682;65719
2020-03-28;987;27062;122069;57695;92472;5576;73235
2020-03-29;1024;29954;141205;62095;97689;6280;80110
2020-03-30;1251;34281;162707;66885;101739;7398;87956
2020-03-31;1397;38815;188724;71808;105792;8527;95923
2020-04-01;1998;43789;214205;77872;110574;9560;104118
2020-04-02;2543;48718;244610;84794;115242;11284;112065
2020-04-03;2567;53699;276547;91159;119827;12437;119199
2020-04-04;3082;57772;309699;96092;124632;12978;126168
2020-04-05;3588;61422;337573;100123;128948;15756;131646
